Open,High,Low,Close,Volume
110.40678405761719,118.98828125,110.40678405761719,113.9427490234375,12087490572
113.8576431274414,116.02162170410156,111.74311065673828,114.84226989746094,11617854009
114.83982849121094,140.52772521972656,114.73286437988281,136.59385681152344,16396753275
136.64927673339844,150.8538055419922,122.60565948486328,132.73716735839844,18960388062
133.1017608642578,135.972412109375,127.16375732421875,132.81871032714844,13684083308
132.85113525390625,136.15164184570312,122.90933227539062,123.32115173339844,12497707224
123.36598205566406,134.91160583496094,121.86788177490234,134.91160583496094,14149877968
135.1941375732422,141.9485321044922,133.1687774658203,138.76144409179688,14609068673
138.9149627685547,141.40379333496094,134.30422973632812,136.19589233398438,13433092920
136.190673828125,138.83056640625,134.8860321044922,138.36155700683594,11367261176
